tau_fs,N_CWE_caseA,N_UPPE_caseA,cost_CWE_caseA,cost_UPPE_caseA,ratio_caseA,N_CWE_caseB,N_UPPE_caseB,cost_CWE_caseB,cost_UPPE_caseB,ratio_caseB
1289.4228487445127,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1334.9758411628866,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1382.1381389540393,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1430.9665959851943,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1481.5200746685673,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1533.8595169196155,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1588.0480176221697,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1644.1509006889562,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1702.2357978091454,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1762.3727299779653,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1824.6341919066128,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1889.0952394141448,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
1955.833579906876,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2024.929666054138,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2096.466792773521,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2170.5311976423814,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2247.212164856759,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2326.6021328628867,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2408.7968057912108,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2493.895268827173,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2582.0001076577523,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2673.2175321379236,32,32768,480.0,491520.0,1024.0,32,32768,480.0,491520.0,1024.0
2767.6575043260314,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
2865.433871042319,32,65536,480.0,1048576.0,2184.5333333333333,32,65536,480.0,1048576.0,2184.5333333333333
